,river,theta
277,Red,7.418794156068438
278,Red,9.724069817461034
279,Red,8.401311727952862
280,Red,9.78873345251009
281,Red,9.39818680627229
282,Red,7.6427797223493
283,Red,9.934894838725887
284,Red,12.20134150465007
285,Red,9.037071124781134
286,Red,8.755008549255622
287,Red,10.201794714120894
288,Red,10.762582174612302
289,Red,10.286652120641326
290,Red,10.99393141341788
291,Red,11.84925317835233
292,Red,6.425219086220558
293,Red,12.031543616068834
294,Red,8.080332931439711
295,Red,8.937045491785982
296,Red,10.491766915838161
297,Red,11.091600929594769
298,Red,8.92843849352785
299,Red,7.1542935939182275
300,Red,8.843279061037288
301,Red,8.329704575391528
302,Red,8.826445246915254
303,Red,8.503236566940265
304,Red,9.188148763000633
305,Red,7.795251117779212
306,Red,8.221743935397619
307,Red,6.057739002528684
308,Red,7.065732449852651
309,Red,5.384526242958384
310,Red,7.560061781722532
311,Red,7.642191932975129
312,Red,8.38997430187681
313,Red,9.753558104481227
314,Red,5.3323400675396515
315,Red,7.536464748586959
316,Red,8.176449168824847
317,Red,9.420793527413636
318,Red,8.068117255127566
319,Red,9.129866739677283
320,Red,6.980286569082378
321,Red,8.101210080523767
322,Red,7.211609017109108
323,Red,7.470003670818848
324,Red,6.6040559550198354
325,Red,7.25099864607302
326,Red,7.5520216516161796
327,Red,6.669318266656544
328,Red,9.63150158428918
329,Red,7.762911443986893
330,Red,9.148287990579547
331,Red,10.698615127114019
332,Red,6.663840133332261
333,Red,8.452377692351215
334,Red,7.270175920875873
335,Red,7.47537054930417
336,Red,8.51813902572809
337,Red,7.625766509339487
338,Red,9.178062176945442
339,White,8.895088624661154
340,White,6.05003727945282
341,White,4.400559179032798
342,White,7.324938531716266
343,White,10.869441543568225
344,White,8.79941931532806
345,White,6.493040399723636
346,White,5.871241456114077
347,White,1.9565283435472842
348,White,5.0114631863476555
349,White,2.9005854086192002
350,White,6.718644344412974
351,White,8.501402442609079
352,White,3.274871870734825
353,White,4.886844780963718
354,White,1.551322891707747
355,White,8.714055573648459
356,White,8.560906512200026
357,White,2.535106794810136
358,White,2.3773024535632907
359,White,4.830001018403988
360,White,5.874005337753524
361,White,2.6329104697696963
362,White,6.616882424668405
363,White,5.94654073273402
364,White,9.430092248629222
365,White,2.9993086939041147
366,White,3.575199914227271
367,White,6.7055506945736765
368,White,4.0418184476671515
369,White,4.238013614956649
370,White,5.681833402552874
371,White,6.872434495007954
372,White,5.332466534309776
373,White,9.020605474505203
374,White,5.658114254176901
375,White,2.64105856020119
376,White,7.273932407388231
377,White,2.5547713599879702
378,Powder,3.618149301764917
379,Powder,2.611866959330429
